ID,TotalKey,Date
559,365155,2021-12-18 06:05:32.927
560,378711,2021-12-19 06:05:36.980
561,383048,2021-12-20 06:05:33.690
562,374926,2021-12-21 06:05:36.823
563,376007,2021-12-22 06:05:34.823
564,360124,2021-12-23 06:05:35.090
565,360332,2021-12-24 06:05:35.040
566,362486,2021-12-25 06:05:35.477
567,361150,2021-12-26 06:05:36.263
568,358285,2021-12-27 06:05:34.590
569,360350,2021-12-28 06:05:40.030
570,362417,2021-12-29 06:05:33.227
571,362773,2021-12-30 06:05:35.320
572,364382,2021-12-31 06:05:35.850
573,390417,2022-01-01 06:05:35.500
574,396089,2022-01-02 06:05:33.907
575,409225,2022-01-03 06:05:37.273
576,408764,2022-01-04 06:05:34.800
577,407006,2022-01-05 06:05:59.020
578,424152,2022-01-06 06:05:33.550
579,422947,2022-01-07 06:05:37.840
580,400033,2022-01-08 06:05:35.850
581,414894,2022-01-09 06:05:41.073
582,425948,2022-01-10 06:05:33.840
583,426867,2022-01-11 06:05:37.133
584,427544,2022-01-12 06:05:32.757
585,430586,2022-01-13 06:05:33.853
586,431388,2022-01-14 06:05:37.320
587,432254,2022-01-15 06:05:34.760
588,424235,2022-01-16 06:05:38.180
589,399375,2022-01-17 06:05:36.190
590,398900,2022-01-18 06:05:35.523
591,398032,2022-01-19 06:05:35.910
592,398572,2022-01-20 06:05:35.480
593,425931,2022-01-21 06:05:36.697
594,464640,2022-01-22 06:05:35.503
595,457434,2022-01-23 06:05:35.960
596,460061,2022-01-24 06:05:39.583
597,383534,2022-01-25 06:05:36.433
598,389512,2022-01-26 06:05:35.273
599,396334,2022-01-27 06:05:44.443
600,459995,2022-01-28 06:06:02.053
601,465460,2022-01-29 06:05:42.113
602,469328,2022-01-30 06:05:36.783
603,473988,2022-01-31 06:05:35.620
604,459871,2022-02-01 06:05:35.720
605,426901,2022-02-02 06:05:35.817
606,449712,2022-02-03 06:05:34.613
607,426157,2022-02-04 06:05:34.223
608,443039,2022-02-05 06:05:35.030
609,480364,2022-02-06 06:05:33.923
610,462326,2022-02-07 06:06:05.420
611,466274,2022-02-08 06:05:37.187
612,472072,2022-02-09 06:05:35.370
613,398170,2022-02-10 06:05:37.253
614,401645,2022-02-11 06:05:35.243
615,409078,2022-02-12 06:05:36.653
616,413519,2022-02-13 06:05:43.250
617,420001,2022-02-14 06:05:34.230
618,450997,2022-02-15 06:05:36.027
619,455131,2022-02-16 06:05:36.240
620,459683,2022-02-17 06:05:35.487
621,441137,2022-02-18 06:05:36.910
622,447411,2022-02-19 06:05:39.653
623,438160,2022-02-20 06:05:49.140
624,455918,2022-02-21 06:05:34.427
625,464655,2022-02-22 06:05:36.147
626,453870,2022-02-23 06:05:36.280
627,463516,2022-02-24 06:05:35.153
628,478005,2022-02-25 06:05:36.163
629,461938,2022-02-26 06:05:38.987
630,461412,2022-02-27 06:05:37.517
631,465522,2022-02-28 06:05:33.107
632,459972,2022-03-01 06:05:33.160
633,466036,2022-03-02 06:05:55.727
634,473564,2022-03-03 06:05:37.610
635,477000,2022-03-04 06:05:36.687
636,455129,2022-03-05 06:05:39.007
